miRNA	log2(exp)>=0	log2(exp)>=1	log2(exp)>=2	log2(exp)>=3	log2(exp)>=4	log2(exp)>=5	log2(exp)>=6	log2(exp)>=7	log2(exp)>=8	log2(exp)>=9	mean expression level
hsa-miR-1256	954	949	924	722	188	4	0	0	0	0	3.41246627241197
hsa-miR-1257	954	952	927	772	196	6	0	0	0	0	3.49276144612884
hsa-miR-1258	951	910	787	394	34	0	0	0	0	0	2.71181589686053
hsa-miR-125a-3p	933	898	894	892	880	869	833	728	438	47	7.2787559235625
hsa-miR-125a-5p	954	954	954	952	931	872	823	796	775	718	9.79629865601134
hsa-miR-125b	954	954	954	950	917	814	739	670	579	469	8.81113399351429
hsa-miR-126	954	954	954	954	951	884	710	490	281	118	7.24388985735698
hsa-miR-1260	954	954	954	954	954	954	954	954	954	953	12.0125497046802
hsa-miR-1261	954	954	954	953	920	550	62	1	0	0	5.10198410369742
hsa-miR-1262	954	953	947	876	389	15	0	0	0	0	3.83472206679185
hsa-miR-1263	954	954	952	940	805	217	10	0	0	0	4.56676517658161
hsa-miR-1266	954	954	953	953	938	691	247	104	39	7	5.62304594390312
hsa-miR-1268	954	954	954	945	881	488	41	4	0	0	4.97918708483633
hsa-miR-1269	954	947	916	765	315	61	7	1	0	0	3.65775400603305
hsa-miR-127-3p	954	952	917	753	358	178	147	123	83	50	4.27404398872846
hsa-miR-127-5p	954	953	952	942	784	334	61	5	0	0	4.71538070280826
hsa-miR-1271	954	954	946	854	503	132	18	1	0	0	4.04396944625751
hsa-miR-1272	954	953	948	880	556	110	6	0	0	0	4.12549455114144
hsa-miR-1275	954	954	954	949	857	298	14	0	0	0	4.72228454429708
hsa-miR-1276	954	954	954	953	917	582	46	0	0	0	5.11915685626404
hsa-miR-1277	954	953	949	912	529	52	0	0	0	0	4.04271845929907
hsa-miR-1278	954	947	925	753	200	5	0	0	0	0	3.45737839304615
hsa-miR-1279	954	954	949	924	756	214	23	6	1	0	4.52823663552633
hsa-miR-128	954	954	954	954	954	954	928	810	516	241	8.21470017980247
hsa-miR-1281	953	953	938	824	431	71	6	1	1	0	3.87771477322566
hsa-miR-1282	954	954	954	947	838	323	11	0	0	0	4.70692453657684
hsa-miR-1283	530	85	47	45	36	32	30	21	12	11	0.41485383111613
hsa-miR-1284	954	947	921	700	167	3	0	0	0	0	3.36539146817574
hsa-miR-1285	954	954	954	944	804	182	6	0	0	0	4.53248839889331
hsa-miR-1286	954	954	954	949	880	350	21	0	0	0	4.8136097976166
hsa-miR-1287	954	954	953	943	826	369	43	0	0	0	4.77003753042525
hsa-miR-1288	951	943	901	668	166	5	0	0	0	0	3.30681358137521
hsa-miR-1289	954	952	946	845	386	45	1	0	0	0	3.82183946397892
hsa-miR-129-3p	950	926	826	552	251	141	71	31	12	9	3.4668101850668
hsa-miR-129-5p	954	954	947	910	678	228	42	15	6	4	4.46053325525649
hsa-miR-1290	954	953	950	930	786	444	145	41	14	2	4.97417331852033
hsa-miR-1291	954	954	951	940	792	201	11	0	0	0	4.52013320855099
hsa-miR-1292	954	954	951	925	674	236	34	4	0	0	4.45314647388157
hsa-miR-1293	952	910	760	363	59	2	0	0	0	0	2.6858033244238
hsa-miR-1294	954	954	946	900	494	47	1	0	0	0	4.01553868921782
hsa-miR-1296	954	952	931	763	318	42	1	0	0	0	3.62885522246739
hsa-miR-1297	954	954	954	954	954	950	887	643	208	21	7.34369987445637
hsa-miR-1298	954	954	947	876	492	54	0	0	0	0	3.98452068759628
hsa-miR-1299	954	954	954	940	803	317	60	9	0	0	4.7213938772436
hsa-miR-1301	954	954	952	913	545	66	1	0	0	0	4.08833102142947
hsa-miR-1302	953	953	951	930	863	633	341	118	23	3	5.53884001756078
hsa-miR-1303	954	952	933	756	245	7	0	0	0	0	3.53929398157329
hsa-miR-1305	954	954	954	954	954	890	409	77	17	5	5.95198834253321
hsa-miR-1306	947	879	620	152	3	0	0	0	0	0	2.23993494594274
hsa-miR-1307	954	954	954	952	903	562	100	7	1	0	5.1460620078777
hsa-miR-130a	954	954	939	858	720	658	584	439	249	96	6.2971743097817
hsa-miR-130b	954	954	954	954	954	954	941	844	561	257	8.37879248055697
hsa-miR-132	910	884	881	871	855	822	763	608	331	109	6.92398579546646
hsa-miR-1321	954	948	925	768	237	17	0	0	0	0	3.52080595353798
hsa-miR-1322	954	954	950	909	577	96	1	0	0	0	4.1500808073144
hsa-miR-1323	954	954	947	861	330	33	10	7	6	3	3.80361739628498
hsa-miR-133a	954	954	954	948	726	148	15	4	2	1	4.44275563133996
hsa-miR-133b	954	954	951	935	896	826	131	5	3	3	5.43128444838519
hsa-miR-134	954	954	954	954	948	741	58	0	0	0	5.31717990987575
hsa-miR-135a	951	940	886	672	312	156	95	66	43	29	3.87470193206017
hsa-miR-135b	954	954	946	916	784	660	577	510	405	285	7.13086988130168
hsa-miR-136	954	954	953	941	862	644	445	281	137	56	6.05115302191179
hsa-miR-137	954	954	954	954	953	882	503	334	256	184	6.961334188725
hsa-miR-138	954	954	951	918	702	369	217	98	31	6	4.95495779483872
hsa-miR-139-5p	954	938	893	626	163	52	31	13	5	2	3.3572105470198
hsa-miR-140-3p	954	952	951	925	692	267	48	6	1	0	4.54707804774479
hsa-miR-140-5p	954	954	954	954	954	946	865	642	353	108	7.59946223129959
hsa-miR-141	954	954	952	924	710	453	399	381	355	324	6.73757533709158
hsa-miR-142-3p	954	954	950	904	569	272	226	201	176	168	5.55773319086083
hsa-miR-142-5p	642	337	312	299	273	247	210	177	162	153	2.79555155864795
hsa-miR-143	953	953	943	822	430	211	152	122	104	75	4.62627290387596
hsa-miR-144	954	954	946	847	364	34	15	11	10	8	3.85333053746012
hsa-miR-145	954	954	953	950	863	414	237	184	139	100	5.72441249816089
hsa-miR-1469	954	953	950	882	675	369	125	33	8	1	4.69016420399787
hsa-miR-146a	954	954	954	954	954	948	823	446	318	238	7.7582380210127
hsa-miR-146b-3p	954	954	951	902	490	54	0	0	0	0	4.00143406842185
hsa-miR-146b-5p	954	954	953	945	751	218	57	28	8	3	4.61237725133833
hsa-miR-147	954	954	953	937	767	192	5	0	0	0	4.49472181556183
hsa-miR-1470	953	930	873	572	126	9	0	0	0	0	3.1360485067465
hsa-miR-147b	954	952	931	821	412	140	59	13	0	0	3.97661795485407
hsa-miR-148a	954	954	954	954	942	872	785	682	565	407	8.40651832830755
hsa-miR-148b	954	954	954	954	954	954	951	915	691	341	8.66844304253599
hsa-miR-149	954	953	939	863	682	475	297	140	44	12	5.13416263792705
hsa-miR-150	954	953	951	920	670	278	123	81	55	35	4.80238116327532
hsa-miR-151-3p	953	953	946	924	877	845	774	597	268	66	7.06349559570593
hsa-miR-151-5p	953	951	942	912	880	863	816	700	486	222	7.70706289861997
hsa-miR-152	953	952	943	885	709	461	277	119	46	9	5.1019525855712
hsa-miR-153	954	949	923	762	266	17	5	0	0	0	3.54266006805183
hsa-miR-1537	954	954	954	954	954	951	809	203	24	5	6.58800424441512
hsa-miR-1538	954	950	934	757	194	3	0	0	0	0	3.48821261319941
hsa-miR-1539	953	943	912	702	152	3	1	0	0	0	3.33916606858196
hsa-miR-154	954	954	954	943	743	245	103	52	20	3	4.69767630188232
hsa-miR-155	954	954	954	954	954	945	741	445	261	127	7.27983287980171
hsa-miR-15a	954	954	954	954	954	953	950	945	936	878	10.8039132632373
hsa-miR-15b	954	954	954	954	954	954	954	950	933	864	10.8302172569536
hsa-miR-16	954	954	954	954	954	954	954	953	951	951	13.2146668351892
hsa-miR-181a	954	954	954	954	954	954	953	928	874	746	10.1737375160972
hsa-miR-181b+hsa-miR-181d	954	954	954	954	954	947	852	596	271	84	7.40478793399225
hsa-miR-181c	954	954	954	952	875	518	180	54	14	4	5.22190763990143
hsa-miR-1825	954	954	954	947	769	167	9	0	0	0	4.4711456967496
hsa-miR-1827	954	948	931	766	236	14	0	0	0	0	3.53572322343214
hsa-miR-183	954	954	954	954	937	836	731	596	384	187	7.47302637540881
hsa-miR-184	954	952	941	834	408	59	4	4	3	1	3.85440922523495
hsa-miR-185	954	954	954	954	952	925	809	536	191	47	7.14725061112816
hsa-miR-186	954	954	954	954	954	947	902	753	463	186	7.96192860938675
hsa-miR-187	954	954	954	952	921	431	38	4	1	0	4.94581703951394
hsa-miR-188-3p	954	954	953	953	936	793	354	157	78	33	5.97762714646915
hsa-miR-188-5p	954	954	954	954	954	952	622	13	0	0	6.14677686726166
hsa-miR-18a	954	954	954	954	954	950	929	862	725	504	9.08284136178268
hsa-miR-18b	954	954	954	954	946	897	767	538	273	114	7.23910085747954
hsa-miR-190	954	950	930	764	220	11	0	0	0	0	3.49874581606363
hsa-miR-1908	954	954	951	942	847	421	91	15	3	0	4.92750527436835
hsa-miR-1909	954	950	918	706	176	7	0	0	0	0	3.3949211966869
hsa-miR-190b	954	954	951	937	838	569	285	116	44	12	5.44639698759427
hsa-miR-191	954	954	954	954	954	954	949	902	766	538	9.25590810325096
hsa-miR-1910	954	954	950	923	819	204	1	0	0	0	4.55352495814122
hsa-miR-1911	953	953	951	933	662	128	3	0	0	0	4.29698461050679
hsa-miR-1912	954	954	954	954	933	553	83	3	0	0	5.14494576257933
