miRNA	log2(exp)>=0	log2(exp)>=1	log2(exp)>=2	log2(exp)>=3	log2(exp)>=4	log2(exp)>=5	log2(exp)>=6	log2(exp)>=7	log2(exp)>=8	log2(exp)>=9	mean expression level
hsa-miR-369-3p	25	25	25	25	22	10	5	3	1	1	5.17454395803351
hsa-miR-369-5p	25	25	25	24	16	3	0	0	0	0	4.1388719818912
hsa-miR-370	25	25	25	21	10	2	1	1	0	0	3.85780376056868
hsa-miR-371-3p	25	25	25	25	13	2	1	1	1	1	4.36289115541023
hsa-miR-371-5p	25	25	23	23	7	1	1	1	1	1	3.97413452849841
hsa-miR-372	25	25	24	21	9	1	1	1	1	1	4.10393141890051
hsa-miR-373	25	25	25	25	16	2	1	1	1	1	4.61539299553617
hsa-miR-374a	25	25	25	25	25	25	25	25	20	10	9.13594185920026
hsa-miR-374b	25	25	25	25	25	25	25	25	25	14	9.37172530713483
hsa-miR-375	25	25	25	24	18	7	2	1	0	0	4.63481668597493
hsa-miR-376a	25	25	25	25	25	17	7	4	1	1	5.81209229666238
hsa-miR-376b	25	25	25	24	21	7	3	1	1	0	4.67589816879613
hsa-miR-376c	25	25	25	25	25	13	7	5	3	2	5.79735122926204
hsa-miR-377	25	25	25	25	20	9	5	4	1	1	5.03389502759519
hsa-miR-378	25	25	25	25	25	23	22	8	0	0	6.53100562935924
hsa-miR-379	25	25	25	25	24	19	8	1	0	0	5.59994410742523
hsa-miR-380	25	25	25	22	13	0	0	0	0	0	3.92358882931742
hsa-miR-381	25	24	23	17	6	4	2	1	0	0	3.68520747605463
hsa-miR-382	25	25	19	12	4	1	0	0	0	0	2.94952756578906
hsa-miR-383	25	25	25	25	22	10	2	0	0	0	4.86664912946423
hsa-miR-384	25	25	25	24	14	1	0	0	0	0	4.05388690458139
hsa-miR-409-3p	25	25	25	19	10	2	1	0	0	0	3.80550332752371
hsa-miR-409-5p	25	25	25	25	18	5	1	0	0	0	4.43075862090407
hsa-miR-410	25	25	25	25	21	11	3	1	1	0	5.02338733424852
hsa-miR-412	25	25	23	15	2	0	0	0	0	0	3.183428998245
hsa-miR-421	25	25	25	25	25	25	18	7	1	0	6.55425800667343
hsa-miR-422a	25	25	25	25	25	20	7	0	0	0	5.53851563209734
hsa-miR-423-3p	25	25	25	25	25	25	25	24	24	18	9.27723496838921
hsa-miR-423-5p	25	25	25	25	25	25	25	25	22	7	8.68788251873495
hsa-miR-424	25	25	25	25	25	22	13	6	1	0	6.20057716072483
hsa-miR-425	25	25	25	25	25	25	24	18	6	1	7.48677923134247
hsa-miR-429	25	25	25	25	24	16	10	8	4	3	6.17118639593935
hsa-miR-431	25	25	25	25	15	5	1	1	1	1	4.4473841411158
hsa-miR-432	25	25	25	24	14	3	1	0	0	0	4.26528597904015
hsa-miR-433	25	24	24	22	9	1	1	0	0	0	3.66790978178738
hsa-miR-448	25	24	21	9	1	0	0	0	0	0	2.75219933608477
hsa-miR-449a	25	25	25	25	14	3	1	0	0	0	4.1964368544409
hsa-miR-449b	25	25	25	22	5	0	0	0	0	0	3.63968113556465
hsa-miR-449c	24	18	15	3	0	0	0	0	0	0	1.95393644954435
hsa-miR-450a	25	25	25	25	21	16	10	4	2	1	5.76028556006876
